StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,261 - personal_1,261 - personal_2,261 - personal_3,261 - user query,261 - ranking_0_GROUP,261 - ranking_0_1_RANK,261 - ranking_0_2_RANK,261 - ranking_0_3_RANK,261 - ranking_0_4_RANK,261 - ranking_0_5_RANK,261 - ranking_0_6_RANK,Q16_0_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_0_6_RANK,Q15_0_GROUP,Q15_0_1_RANK,Q15_0_2_RANK,Q15_0_3_RANK,Q15_0_4_RANK,Q15_0_5_RANK,Q15_0_6_RANK,297 - personal_1,297 - personal_2,297 - personal_3,297 - user query,297 - ranking_0_GROUP,297 - ranking_0_1_RANK,297 - ranking_0_2_RANK,297 - ranking_0_3_RANK,297 - ranking_0_4_RANK,297 - ranking_0_5_RANK,297 - ranking_0_6_RANK,244 - personal_1,244 - personal_2,244 - personal_3,244 - user query,244 - ranking_0_GROUP,244 - ranking_0_1_RANK,244 - ranking_0_2_RANK,244 - ranking_0_3_RANK,244 - ranking_0_4_RANK,244 - ranking_0_5_RANK,244 - ranking_0_6_RANK,238 - personal_1,238 - personal_2,238 - personal_3,238 - user query,238 - ranking_0_GROUP,238 - ranking_0_1_RANK,238 - ranking_0_2_RANK,238 - ranking_0_4_RANK,238 - ranking_0_5_RANK,238 - ranking_0_6_RANK,238 - ranking_0_3_RANK,Random ID,mistakes
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Please read the backstory carefully and answer the following questions.
Backstory:It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - sore throat home remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - home care cough remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what can i use to cure a sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what are some homemade remedy for a sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - nausea remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - sore throat home remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - home care cough remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what can i use to cure a sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what are some homemade remedy for a sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - nausea remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - sore throat home remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - home care cough remedy - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what can i use to cure a sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what are some homemade remedy for a sore throat - Rank","Backstory:

It is late, but you can't get to sleep because a sore throat has taken hold and it is hard to swallow. You have run out of cough drops, and wonder if there are any folk remedies that might help you out until the morning.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - nausea remedy - Rank","Please read the backstory carefully and answer the following questions.
Backstory:You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - altitude sickness prevention - Rank","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - altitude sickness - Rank","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - treatment for altitude sickness - Rank","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - how to overcome altitude sickness - Rank","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - mexico city altitude sickness prevention - Rank","Backstory:

You are scheduled to make a business trip to Mexico City, one of the highest cities in the world, and are concerned that you might suffer from altitude sickness. You would like to find out if there are techniques or treatments that can be used to prevent such problems.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - new mexico altitude - Rank","Please read the backstory carefully and answer the following questions.
Backstory:Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - old town scottsdale history - Rank","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - old town scottsdale - Rank","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - history of old town scottsdale arizona - Rank","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - old town scottsdale phoenix - Rank","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - info on old town scottsdale - Rank","Backstory:

Driving north along highway 17 in Arizona, you pass a sign to Old Town Scottsdale. You wonder what kind of history the town had, before it was swallowed up by Phoenix.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - order of the phoenix - Rank","Please read the backstory carefully and answer the following questions.
Backstory:Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - george h w bush - Rank","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - george hw bush biography - Rank","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - george bush - Rank","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - president george h w bush biography - Rank","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what is a good biography on george h w bush - Rank","Backstory:

Talking with your children at the weekend, you realize you remember almost nothing about US President George H. W. Bush. You'd like to read some biographies of him.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - bosch in usa - Rank",Random ID,mistakes
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID123940161_9""}","{""ImportId"":""QID123940161_2""}","{""ImportId"":""QID123940161_3""}","{""ImportId"":""QID123940162_TEXT""}","{""ImportId"":""QID123940177_0_GROUP""}","{""ImportId"":""QID123940177_G0_1_RANK""}","{""ImportId"":""QID123940177_G0_2_RANK""}","{""ImportId"":""QID123940177_G0_3_RANK""}","{""ImportId"":""QID123940177_G0_4_RANK""}","{""ImportId"":""QID123940177_G0_5_RANK""}","{""ImportId"":""QID123940177_G0_6_RANK""}","{""ImportId"":""QID42_0_GROUP""}","{""ImportId"":""QID42_G0_1_RANK""}","{""ImportId"":""QID42_G0_2_RANK""}","{""ImportId"":""QID42_G0_3_RANK""}","{""ImportId"":""QID42_G0_4_RANK""}","{""ImportId"":""QID42_G0_5_RANK""}","{""ImportId"":""QID42_G0_6_RANK""}","{""ImportId"":""QID41_0_GROUP""}","{""ImportId"":""QID41_G0_1_RANK""}","{""ImportId"":""QID41_G0_2_RANK""}","{""ImportId"":""QID41_G0_3_RANK""}","{""ImportId"":""QID41_G0_4_RANK""}","{""ImportId"":""QID41_G0_5_RANK""}","{""ImportId"":""QID41_G0_6_RANK""}","{""ImportId"":""QID123940166_9""}","{""ImportId"":""QID123940166_2""}","{""ImportId"":""QID123940166_3""}","{""ImportId"":""QID123940163_TEXT""}","{""ImportId"":""QID123940164_0_GROUP""}","{""ImportId"":""QID123940164_G0_1_RANK""}","{""ImportId"":""QID123940164_G0_2_RANK""}","{""ImportId"":""QID123940164_G0_3_RANK""}","{""ImportId"":""QID123940164_G0_4_RANK""}","{""ImportId"":""QID123940164_G0_5_RANK""}","{""ImportId"":""QID123940164_G0_6_RANK""}","{""ImportId"":""QID123940167_9""}","{""ImportId"":""QID123940167_2""}","{""ImportId"":""QID123940167_3""}","{""ImportId"":""QID123940168_TEXT""}","{""ImportId"":""QID123940169_0_GROUP""}","{""ImportId"":""QID123940169_G0_1_RANK""}","{""ImportId"":""QID123940169_G0_2_RANK""}","{""ImportId"":""QID123940169_G0_3_RANK""}","{""ImportId"":""QID123940169_G0_4_RANK""}","{""ImportId"":""QID123940169_G0_5_RANK""}","{""ImportId"":""QID123940169_G0_6_RANK""}","{""ImportId"":""QID123940170_9""}","{""ImportId"":""QID123940170_2""}","{""ImportId"":""QID123940170_3""}","{""ImportId"":""QID123940171_TEXT""}","{""ImportId"":""QID123940172_0_GROUP""}","{""ImportId"":""QID123940172_G0_1_RANK""}","{""ImportId"":""QID123940172_G0_2_RANK""}","{""ImportId"":""QID123940172_G0_4_RANK""}","{""ImportId"":""QID123940172_G0_5_RANK""}","{""ImportId"":""QID123940172_G0_6_RANK""}","{""ImportId"":""QID123940172_G0_3_RANK""}","{""ImportId"":""Random ID""}","{""ImportId"":""mistakes""}"
2022-02-09 11:45:27,2022-02-09 11:47:30,0,67.247.68.1,100,123,1,2022-02-09 11:47:32,R_21nAN2IdXgUHBlp,,,,,43.0641937255859375,-74.3339996337890625,anonymous,EN,0.89999997615814208984375,,0,0,,2,2,3,sore throat folk remedies,"1,5,4,2,3,6",1,4,5,3,2,6,,,,,,,,,,,,,,,2,2,3,altitude sickness treatment,"3,1,4,5,2,6",2,5,1,3,4,6,2,2,3,Old Town Scottsdale history,"3,1,5,4,2,6",2,5,1,4,3,6,2,2,3,George H.W. Bush biography,"5,2,6,1,4,3",4,2,5,1,3,6,59064628132,1
2022-02-09 11:54:35,2022-02-09 11:57:51,0,207.98.181.45,100,195,1,2022-02-09 11:57:51,R_3hfsgF6qlvSTHe2,,,,,42.66259765625,-83.1837005615234375,anonymous,EN,1,,0,0,,4,5,4,sore throat natural remedies,"1,4,5,3,2,6",1,5,4,2,3,6,,,,,,,,,,,,,,,4,5,5,altitude sickness prevention,"1,5,3,2,4,6",1,4,3,5,2,6,2,5,5,Old Town Scottsdale history,"1,3,5,4,2,6",1,5,2,4,3,6,4,3,5,President George Bush biography,"5,2,6,1,4,3",4,2,5,1,3,6,20597736011,1
2022-02-09 12:02:32,2022-02-09 12:06:14,0,71.167.237.210,100,222,1,2022-02-09 12:06:16,R_sp3L1DEzKuziLAt,,,,,40.7808990478515625,-73.95020294189453125,anonymous,EN,1,,0,0,,4,4,4,folk remedies for sore throat,"4,1,5,3,2,6",2,5,4,1,3,6,,,,,,,,,,,,,,,4,4,4,treatments for altitude sickness,"3,4,5,1,2,6",4,5,1,2,3,6,4,4,4,old town scottsdale arizona history,"3,1,5,4,2,6",2,5,1,4,3,6,4,4,4,George H.W. Bush biography,"5,2,6,1,4,3",4,2,5,1,3,6,78774761974,1
2022-02-09 12:59:26,2022-02-09 13:02:30,0,71.175.7.39,100,183,1,2022-02-09 13:02:30,R_1lhEbtrnpQA8Btf,,,,,40.14349365234375,-75.377899169921875,anonymous,EN,0.89999997615814208984375,,0,20,,5,4,4,How to get rid of sore throat without meds,"5,3,1,4,2,6",3,5,2,4,1,6,,,,,,,,,,,,,,,4,2,3,How to prevent altitude sickness,"5,1,4,3,2,6",2,5,4,3,1,6,2,4,3,History of Old town scottsdale,"3,1,4,5,2,6",2,5,1,3,4,6,4,2,4,I'd like to know more abut George W. Bush's life.,"6,2,5,1,4,3",4,2,5,3,1,6,97147614567,1
2022-02-09 13:21:17,2022-02-09 13:23:04,0,204.210.102.216,23,107,0,2022-02-09 14:21:18,R_1dzblKesLOh6YLd,,,,,,,anonymous,EN,1,,0,0,,5,4,5,natural sore throat cure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49593141837,9
2022-02-09 14:55:33,2022-02-09 14:58:17,0,76.125.139.110,100,163,1,2022-02-09 14:58:17,R_3hmPZ9cZ2jQXpV9,,,,,40.4412994384765625,-79.25330352783203125,anonymous,EN,0.89999997615814208984375,,0,0,,2,3,4,natural coughing remedies,"5,1,4,3,2,6",2,5,4,3,1,6,,,,,,,,,,,,,,,2,4,4,altitude sickness treatments,"3,4,1,5,2,6",3,5,1,2,4,6,1,2,4,old town scottsdale history,"1,3,5,2,4,6",1,4,2,5,3,6,4,4,5,George HW Bush biographies,"5,2,6,1,4,3",4,2,5,1,3,6,96055078918,1
2022-02-09 16:37:27,2022-02-09 16:40:39,0,50.231.89.205,100,191,1,2022-02-09 16:40:39,R_2zdvWZaJZUYIAcv,,,,,40.7156982421875,-74,anonymous,EN,1,,0,5,,5,5,5,remedies,"5,6,3,1,2,4",4,5,3,6,1,2,,,,,,,,,,,,,,,5,5,5,mexico city,"6,4,3,1,5,2",4,6,3,2,5,1,5,5,5,Arizona,"4,3,5,2,1,6",5,4,2,1,3,6,5,5,5,us president george h.w.bush,"5,4,2,6,3,1",6,3,2,1,4,5,56349867598,3
2022-02-09 21:37:54,2022-02-09 21:42:09,0,188.210.212.133,100,254,1,2022-02-09 21:42:09,R_3CHsFlM9c4CK4Ta,,,,,53.48089599609375,-2.237396240234375,anonymous,EN,1,,0,0,,4,3,5,sore throat home remedies,"1,5,3,4,2,6",1,5,3,4,2,6,,,,,,,,,,,,,,,2,4,4,altitude sickness prevention,"1,5,2,4,3,6",1,3,5,4,2,6,2,3,2,old town scottsdale history,"1,3,5,2,4,6",1,4,2,5,3,6,3,3,5,George H. W. Bush biography,"2,5,1,6,4,3",3,1,5,2,4,6,72146383917,1
